Category1,Category2,ID,Action to perform,Why performing this action is important,Examples from FAIRTraits,Where the information is documented,Table containing the field (if relevant)
A) MAKE TRAIT DATA MEANINGFUL,,,,,,,
,A.1) Document the trait,,,,,,
,,A.1.1,"Describe a trait as a quality (Q) of an entity (E), a formalism widely used to describe the traits of organisms.",The E_Q formalism allows one to identify unequivocally the trait measured (semantic disambiguation).,"Each trait was modeled as a unique quality x entity combination. Qualities (i.e. area, mass, nitrogen content per dry mass) were measured on 17 entities. For example, nitrogen content per dry mass (a quality) has been measured on three root entities: absorptive roots (abr), transport roots (trr) and the whole root system (wrs), resulting in three quality x entity combinations for this specific quality: RNC_abr, RNC_trr and RNC_wrs.",[DwC] measurementTraitRemarks,FAIRTraits_TraitValues.txt
,,A.1.2,Describe the sampling protocols (of the entity),Improper sampling protocol can produce erroneous results and limit the value of data. Different sampling protocols for the same trait are likely to yield different values. Follow recommendations in handbooks when available.,"Full metadata on sampling protocols are provided for traits and environmental variables, at the level of each individual value. E.g. for RNC: ""Whole root system collected from one or several representative individuals of a population found in full light conditions"".",[DwC] samplingProtocol,FAIRTraits_TraitValues.txt
,,A.1.3,Record a unique identifier for the sample (if tracked across multiple measurements).,Allows multiple trait measurements to be correctly linked to the same sample.,The replicate on which a specific data record was taken was identified.,[DwC] organismID,FAIRTraits_TraitValues.txt
,,A.1.4,Describe the measurement methods (of the quality),"Improper measurement protocol can produce erroneous results and limit the value of data. Different measurement protocols for the same trait are likely to yield different values. When available, standardized protocols should be used (e.g. reference handbooks).","Full metadata on measurement protocols are provided for traits and environmental variables, at the level of each individual value. E.g. for RNC: ""Elemental analyser (CHN model EA 1108 Carlo Erba Instruments [Milan - Italy]) after ginding"".",[DwC] measurementMethod,FAIRTraits_TraitValues.txt
,,A.1.5,Use acknowledged standards when available.,"Adhering to domain-relevant community standards is a key step to ensure (i) quality measurement, (ii) reproducibility, and (iii) interoperabilty and reusability. Note that some questions might require the collection of data that do not comply to existing standards; in this case, detailed information should be given so that trait data can be properly interpreted.","Standard protocols for trait measurements were generally followed (Cornelissen et al., 2003; Freschet et al., 2021); when a protocol was not available, sampling and measurement methods were detailed in specific fields of the database.",[DwC] termSource; traitResourceIdentifier; traitLocalIdentifier,FAIRTraits_TraitValues.txt
,,A.1.6,Identify each replicate measurement,"Needed to connect trait measurements made on the same sample (e.g., SLA and LDMC on the same leaf).","In many cases, different traits were measured on the same sample, e.g., specific leaf area and leaf dry matter content. ",[DwC] materialSampleID,FAIRTraits_TraitValues.txt
,,A.1.7,"Record data at the finest resolution possible, that is, one record per trait measurement, which can even include the within-individual or within-organ level","The decision as to which aggregation level is relevant (e.g., population or species) should be left to the end users, allowing them to assemble appropriate data for their specific research questions. This places the responsibility of recording, storing, and publishing the finest trait value resolution possible on the data creator.","The exact number of replicates differed for each of the 180 traits measured, and the finest level of replication was conserved. Consequently, raw data without any aggretation procedure can be used, while the aggregation can be conducted, for example, at the level of populations (defined as the combination of species x site x plot x treatment x “field campaign”), treatment (species x site x treatment) or species (all populations of a given species).","[DwC] samplingProtocol, measurementMethod",FAIRTraits_TraitValues.txt
,,A.1.8,Homogenize units,"Unit is one of the minimal, essential features required to qualify continuous trait data, making data analyses possible. Units do not apply to categorical data.","For a given trait, values were homogeneized to a single unit across the whole data base, e.g. the RNC of all entities is expressed in mg.g-1.",[DwC] measurementUnit,FAIRTraits_TraitValues.txt
,,A.1.9,Record the date and time of each samping/measurement,Enables one to keep track of the measurements made.,"The date is reported to distinguish measurements made on the same species at different times: date is one of the variables used to distinguish ""populations"" (i.e. a given species measured in a given site in a given treatment in spring is considered a different population than the same species in the same treatment measured in autumn).",[DwC] year; month; day,FAIRTraits_TraitValues.txt
,,A.1.10,Report the geolocation of each sampling/measument (if necessary),Needed to connect the measurements to an ecological context (if made in the field).,"Latitude and longitude were reported in decimal degree, for both each site (barycenter of the site), and each measurement plot within a site.",traitPlotLatitude; traitPlotLongitude; traitPlotAltitude,FAIRTraits_TraitValues.txt
,A.2) Document the sampled organism,,,,,,
,,A.2.1,"Specify the full scientific name (if identified at the species level: binomial name, including genus and species, in Latin).","Provides a standardized identifier of the organism, ensuring clarity and avoiding confusion due to vernacular names.","Binomial names were used for each species. When the identification was made at the genus level, the abbrevation sp. replaced the species name, e.g., Carex sp..",[DwC] scientificName,FAIRTraits_Taxon.txt
,,A.2.2,If taxon identified at the species level: indicate the name of the author(s) of the species name (authority),"Ensures taxonomic precision, especially for species with homonyms or name changes","E.g., Carex humilis Leyss. 1758",[DwC] scientificName,FAIRTraits_Taxon.txt
,,A.2.3,Document the taxonomic reference used [see also B.1.2],Ensures consistency with current nomenclature and enables linkage to global taxonomic backbones.,The TAXREF french standard was used.,[DwC] nameAccordingTo,FAIRTraits_Taxon.txt
,,A.2.4,Provide a unique taxonomic identifier from the chosen taxonomic reference for each taxon [see also B.2.4].,"Provides stable, unique links across databases, facilitating interoperability and data reuse (B.1.2), and enables to uniquely identify the taxon within the database (B.2.4).","The TAXREF standard contains URIs (uniform resource identifiers), which were directly reused to uniquely identify the taxa.",[DwC] scientificNameID,FAIRTraits_Taxon.txt
,,A.2.5,"Keep the original taxon names used during data collection, if they differ from the standardized names used in the final dataset.",Helps trace historical data and avoid loss of information when names change.,"Original species names (and abbreviation), used when collecting the data, were kept as verbatim species names in the final database. For instance, Bromopsis erecta (Huds.) Fourr. 1869 (name extracted from the TAXREF standard), was called Bromus erectus during fieldwork.",[DwC] acceptedNameUsage,FAIRTraits_Taxon.txt
,,A.2.6,"Document relevant infraspecific taxonomic rank (subspecies, variety, cultivar, genotype ID, accession number…) and provide its identifier if possible",Captures meaningful variation below the species level," When the identification was made at the subspecies level, this finest level was identified as ""subsp."" (e.g. Dactylis glomerata subsp. hispanica)","[DwC] taxonRank indicates whether the scientific name given concerns a genus, a species, or a subspecies",FAIRTraits_Taxon.txt
,,A.2.7,"Document relevant higher taxonomic information (e.g., family, order)",Facilitates data integration and comparative analyses across broader taxonomic groups.,"E.g., Carex humilis Leyss. belongs to the Plantae kingdom, and the Cyperaceae family. Note that the taxonomic information of FAIRTraits is stored in the GBIF infrasructure (see below), which gives automatically the full taxonomic hierarchy ",[DwC] kingdom; family,FAIRTraits_Taxon.txt
,,A.2.8,Document any relevant information on the taxon that provides biological context.,"Characteristics of the taxon, often reported in floras or taxonomic databases, are crucial for interpreting trait values, understanding their variation, and enabling correct cross-species comparisons.","Each taxon is documented with its life cycle (e.g., annual, perennial), Raunkiaer life form (e.g., therophyte, phanerophyte), and other traits like photosynthetic pathway (C3, C4).",[DwC - Plinian Core Extension] LifeCycleUnstructured; LifeFormUnstructured; TrophicStrategy; DistributionUnstructured; StartTimeInterval; EndTimeInterval,FAIRTraits_Taxon.txt
,,A.2.9,Document any relevant information about the state of the sampled organism that could influence trait values.,"The physiological or phenological state of an individual (e.g., its developmental stage, health, or sex) can cause significant intra-specific variation in trait measurements. Documenting this context is essential for correctly interpreting the data and for reusing it in studies of phenotypic plasticity or life history.","Not done in FAIRTraits. Examples would be details on life cycle stage (e.g., 'larva', 'juvenile', 'adult'), phenological stage (e.g., 'flowering', 'fruiting'), sex, or any other pertinent individual-level characteristic.",NA,
,A.3) Document the environment,,,,,,
,,A.3.1,"Indicate the spatial organization of the observational or experimental design, including whether the data were measured in a glasshouse, a common garden, or in the field","Trait variations can occur at small spatial scales, part of which can be understood if the spatial organisation of the studied system is described. ","The spatial organisation of the sites was described, including any treatments to which plots were subjected.",[DwC] traitPlotTreatment; traitPlotTreatmentDescription; traitPlotTreatmentRefDescription,FAIRTraits_LocalEnvironment.txt
,,A.3.2,Define the environmental variables reported,Needed to make sense of the variables. One of the most commonly reported variable is geolocation.,"Variables reported included both abiotic and biotic information. They include climate, soil, and disturbance regime descriptions.",Examples: siteMeteoStationMAT (climate: mean annual temperature); soilPlotCorg (soil: organic carbon content of soil per mass); traitPlotDisturbanceType (disturbance: qualitative type of disturbance),FAIRTraits_MeteoSitesYear.txt; FAIRTraits_MeteoSitesMonth.txt; FAIRTraits_LocalEnvironment.txt
,,A.3.3,Describe the sampling protocol for environmental variables,Different sampling protocols for the same variable are likely to yield different values. ,NA,NA,NA
,,A.3.4,Describe the measurement method for environmental variables,Different measurement methods for the same variable are likely to yield different values. ,"The soilPlotCorg variable was computed as follows: ""Organic content of soil = Total carbon content - mineral carbon content (Mineral carbon content = 0.12 * CaCO3 content). NF ISO 10694 Code sol-0405"".",measurementMethod,FAIRTraits_DescripEnvVariables.txt
,,A.3.5,Specify the units of the environmental variables reported,"Unit is one of the minimal, essential features required to qualify continuous data, making data analyses possible.",The soilPlotCorg variable was expressed in g/kg.,verbatimVariableUnit,FAIRTraits_DescripEnvVariables.txt
,,A.3.6,Referer to a standard (if available),"References to ontologies or thesaurus, or clear definitions (sampling protocol, measurement method, etc.) are needed to be able to use these measurements.",The soilPlotCorg variable is defined at: http://www.arras.inra.fr/pages/methode_du_las_sols.htm#Groupe4,variableID,FAIRTraits_DescripEnvVariables.txt
,,A.3.7,Indicate the spatial scale of the measurements,"Environmental measurements can be performed at different spatial scales, from the local proximity of the plant to the site or the climatic region. The scale of the measurement must be clearly reported.","Meteorological records are given at the site level (both on a monthly and yearly basis). Soil measurements and variables describing the disturbance regimes are given at the plot level, i.e., in the direct proximity of the plants measured.",variableEntity,FAIRTraits_DescripEnvVariables.txt
,,A.3.8,Specify the origin of the environmental variables (measured locally vs. extracted from databases),"While measuring environmental variables locally is preferable, when these are not available, is it recommended to share environmental measures extracted from databases if they are relevant to understand and analyse trait data.",Environmental variables were measured either at the site or plot level (see below).,measurementMethod,FAIRTraits_DescripEnvVariables.txt
,A.4) Document the project,,,,,,
,,A.4.1,"Identity of the origin of the measurement: experimenter(s), name of project, grants...",Systematic error can differ among experimenters. This information can be used to control for data quality.,Each record is associated to a research project and a person responsible for the collection and cleaning of primary data,[DwC] recordedBy; [EML] Class II (Research origin descriptors),FAIRTraits_TraitValues.txt
,,A.4.2,Provide contacts,Necessary for any question on the data.,Available as metadata on the GBIF and InDoRES infrastructures,[EML] Class II (Research origin descriptors),Not stored in tables
,,A.4.3,Cite publications that have used the data,"Documenting origin is necessary to avoid the same dataset, shared on different platforms, to be considered as two distinct datasets (risk of pseudo-replication in further analyses).","Available as metadata on the GBIF and InDoRES infrastructures (see section ""Publishing"" below). A PublishedPaper file listing the articles using subparts of the database which were published previously, together with their DOIs.",[EML] Class V. F (Publications and results); Class V. G (History of data set usage),Not stored in tables
B) MAKE TRAIT DATA INTEROPERABLE,,,,,,,
,B.1) Format and structure the data,,,,,,
,,B.1.1,"Store data in a non-proprietary, machine-readable format (e.g., .txt, or .csv)",Necessary to ensure interoperability,The .txt extension was used for the data tables.,[EML] Class III; Class V.E,Does not apply
,,B.1.2,Include as much information as possible within the tables,"Creates a direct connexion between trait data and their contextual data, which makes the data table more ""self-sufficient"", and hence more interoperable.","Trait and contextual data (sampled organism, taxa, projects) are included within the data tables.","e.g., [DwC] coutryCode; [DwC] recordedBy",FAIRTraits_TraitValues.txt
,,B.1.3,Choose a structure for the data,"Depending on the heterogeneity of the data, one can decide to keep the structure used for data collection and/or data analysis, or restructure data for sharing them. Data restructuration often enables one to include more thorough data descriptions within the data table, thus connecting them directly to the data points. Direct understanding the data points contained in tables is key for data interoperability.","Original data were structured as species-trait matrices, but the final structure was a relational database, i.e. a database made of different tables which can be connected using common columns. We followed as much as possible the Ecological Trait data Standard ETS, Schneider et al., 2019), which is built as a relational database. However, as it is primarily built for taxonomic information, this standard lacks fields for environmental information. We thus extended the database with additional fields when they were missing from the standard",[EML] Class IV: Data structural descriptors,Does not apply
,,B.1.4,"In each table, generate a unique identifier (""primary key"") for each row",Unique identifiers are necessary to uniquely identify measurements within each table,"For instance, the FAIRTraits_Taxon table contains an acceptedNameUsage field which takes 240 values (the table thus has 240 rows, row titles excluded). Each value is taken once, ensuring that one, and only one, set of information is available for each taxon. This field is a primary key of the FAIRTraits_Taxon table.",occurrenceID; acceptedNameUsage; siteName; soilPlotID,Respectively: FAIRTraits_TraitValues.txt; FAIRTraits_Taxon.txt; FAIRTraits_MeteoSitesYear.txt; FAIRTraits_LocalEnvironment.txt
,,B.1.5,"If following a relationaldatabase structure, refer to the primary key of the extensions within the core observation table","Referring, in the core observation table, to the primary key of each extension, is necessary to connect this core table to its extensions.","A field called acceptedNameUsage (the primary key of the taxon table, cf. recomendation S3) is also present in the FAIRTraits_TraitValues table (the core table). It contains the same values as those present in the FAIRTraits_Taxon table, but they are duplicated (the FAIRTraits_TraitValues table has 189,452 rows), because mulitple measurements were made on the each taxon. This column is called a foreign key of the FAIRTraits_TraitValues table. It is used to connect information present in the Taxon table to that present in the TraitValues table. The same logic applies to the other tables (e.g., environmental information).",[DwC] acceptedNameUsage (FAIRTraits_TraitValues.txt; FAIRTraits_Taxon.txt),
,B.2) Standardize variable names,,,,,,
,,B.2.1,Rely on a standard to define variable/column names (if possible).,"Following a data standard with unambiguous field (i.e., column) names makes data structuration easier to understand by data reusers and to combine (manually or automatically) to other data, which are determinant contributions to the interoperability of datasets.","The Darwin Core standard was used for taxonomic and trait data. However, this standard did not manage the associated environmental information, which was thus documented by adapting the Ecological Trait data Standard. Both standards are compatible with the structure of relational databases, i.e., tables connected together by common columns.",[EML] Class IV: Data structural descriptors,Does not apply
,,B.2.2,Describe precisely the variables not found in standards (when documenting the general metadata).,"Standards might not be adapted to all data, in particular when data are very original in their content.","Each variable not defined in standards was defined precisely. This was the case, for example, for soil and disturbance characteristics ",e.g. FAIRTraits environmental files,Does not apply
,B.3) Standardize variable content,,,,,,
,,B.3.1,Standardize trait names and methods by mapping them to persistent identifiers from community-accepted ontologies.,"This practice is fundamental for interoperability, allowing different datasets to be unambiguously combined and understood by automated systems. Examples of ontologies include the Trait Ontology (TO) for traits, or the Methods Ontology for procedures.","Terminological resources were used to standardize trait semantics (Garnier et al., 2017; Ely et al., 2021); original definitions were coined when necessary and detailed in a specific field of the database.",[DwC] termSource; traitResourceIdentifier; traitLocalIdentifier,FAIRTraits_TraitValues.txt
,,B.3.2,Standardize taxonomic names by mapping them to persistent identifiers from a community-accepted source (cf. A.2.3),"Ensures correct species identification and links to global taxonomic resources. This is necessary for combining different data sets, which may name the same taxa differently.","The TAXREF taxonomic reference database (https://taxref.mnhn.fr/), used in FAIRTraits, is itself used in larger taxonomies, thus providing interoperability.",[DwC] nameAccordingTo,FAIRTraits_Taxon.txt
,,B.3.3,Standardise environmental measurements by referencing relevant ontologies or thesauri (cf. A.3.5),Allows for the integration of environmental context across different studies.,"The environmental ontology (ENVO, https://sites.google.com/site/environmentontology/) was referred to whenever possible",e.g. FAIRTraits environmental files,FAIRTraits environmental files
,B.4) Ensure reproducible data processing,,,,,,
,,B.4.1,Favour algorithmic over manual restructuration,"Keeps raw data intact and ensures all transformations are explicit, traceable, and reproducible.","All the steps used to restructure (and complete) raw data into the final database were performed using of scripts which took as input (1) raw data, and (2) new data tables designed to add missing information (related to data content or data structure). For instance, the FAIRTraits_TraitValues table is built from 1) the raw species-trait matrices, and 2) a table filled manually which documents the measurement methods for each trait, in each context. The restructuration and merging of the two files generates the final FAIRTraits_TraitValues table.",[EML] Class V. D: Computer programs and processing algorithms,Does not apply
,,B.4.2,Use a version control system,Versioning of the scripts makes it possible to go back to previous versions of the data restructuration process if necessary.,"The git version control software was used, and the scripts were uploaded to GitHub to enable collaboration between people working on the database, and script archiving.",[EML] Class V. D: Computer programs and processing algorithms,Does not apply
,,B.4.3,Share the code used to restructure data,"Sharing the code ensures the data processing is transparent, reproducible, and allows others to build upon your methodology.","The scripts and the whole versioning history was made available on GitHub. An additional Zenodo DOI was generated for permanency, versioning, and citation requirements. The scripts were written in the R language, with documentation of the packages used and their versions using the R sessionInfo() function. A README was used to document the scripts structures.",[EML] Class V. D: Computer programs and processing algorithms,Does not apply
,,B.4.4,Associate a usage license to the scripts,Needed to explicitly state the conditions under which the scripts can be reused/modified.,A MIT (open source) license was applied to the scripts.,[EML] Class V. D: Computer programs and processing algorithms,Does not apply
C) MAKE TRAIT DATA FINDABLE,,,,,,,
,C.1) Publish a metadata file in a standard format,,,,,,
,,C.1.1,Use a community-approved metadata standard,"Using a metadata standard (1) ensures that all key aspects of the metadata are effectively documented, and (2) favours the interoperability with other datasets documented using the same metadata standard. A best practice is to adopt widely recognized detailed metadata standards, such as EML or ISO 19115 for ecological data.","The Ecological Metadata Standard (EML) was used to document the FAIRTraits database, as the standard used in the GBIF infrastructure (see below)",[EML] Class IV.B (data structural descriptors - variable information),Does not apply
,,C.1.2,Publish the metadata to a searchable repository or catalog.,Metadata are the proxy by which data are searched.,"EML (Ecological Metadata Language) metadata were associated to the data archive on GBIF, and the Dataverse metadata standard to the InDoRES archive, both of which are catalogs with search engines. Additionally, FAIRTraits has been released as a data paper, favouring its discovery by other researchers.",[EML] All classes,Does not apply
,C.2) Publish a rich metadata file,,,,,,
,,C.2.1,"Make a general description of the dataset (title, originators, abstract, key words)","Necessary to have a general glimpse of the dataset, and for querying with search engines.","This description is required in the EML standard. Additionally, a data paper, FAIRTraits, describing the dataset, has been published in Ecology.",[EML] Class I (Data set descriptors) and Class II (Research origin descriptors),Does not apply
,,C.2.2,"Describe the data content (trait and taxonomic coverage, etc.) and structure (tables, variables, relationships)","Metadata must document the exact structuration of the data, generally into tables, and describe each field (i.e., column name) of the tables, for the users to be able navigate the data.","The database was structured into a TraitValues and a Taxon table, with extensions documenting the environment. This is fully described in the data paper. See also B.2.",[EML] Class IV (data structural descritpors).,Does not apply
,,C.2.3,Document the quality control procedures applied [cf. Section E],Quality control is necessary to confidently use data and are a criterion when searching for datasets. Details of how this control was made can further guide data analysis.,Cf. section D on quality control below.,[EML] Class V (Supplemental descriptors),Does not apply
,,C.2.4,"Provide information on accessibility (repositories, persistent identifier, license usage) [cf. Section D]",This accessibility information (the 'where' and 'how') must be recorded in the metadata itself to enable discovery and access.,Cf. section C.2 above,[EML] Class III (Dataset status and accessibility),Does not apply
,C.3) Promote the dataset,,,,,,
,,C.3,Disseminate the information about the data publication (and possibly write a data paper),Using multiple channels to inform on data publication enhances its findability.,"The FAIRTraits database is fully described in a data paper, shared on social media platforms.",Data paper published in Ecology 106: e70219. doi: 10.1002/ecy.70219,Does not apply
D) MAKE TRAIT DATA ACCESSIBLE,,,,,,,
,D.1) Preserve and license the data package,,,,,,
,,D.1.1,"Archive data in a long-term repository committed to FAIR practices, queriable by both humans and machines, and associate its metadata.",Ensures that data will be available on the long-term.,"Data were uploaded to the GBIF (https://www.gbif.org/) and the InDoRES (https://www.indores.fr/) infrastructures, both of which benefit from long-term support. Both GBIF and InDoRES include a search engine and are regularly scanned by web search engines.",[EML] Class III: Dataset status and accessibility; Class V.E: Archiving,Does not apply
,,D.1.2,Upload metadata together with the data,Metadata are necessary to make sense of the data (see above).,"Metadata were associated to the data archive on GBIF, and the Dataverse metadata standard to the InDoRES archive.",[EML] All classes,Does not apply
,,D.1.3,Assign a persistent identifier (DOI) to the dataset.,A unique and persistent identifier is necessary for the data to be findable.,DOIs have been attributed to the data archives present on GBIF and InDoRES.,[EML] Class III: Dataset status and accessibility; Class V.E: Archiving,Does not apply
,,D.1.4,Specify reusability conditions with a a clear usage license,Necessary for data reuse.,CC-BY 4.0 licenses were associated to the archives.,[EML] Class III: Dataset status and accessibility,Does not apply
,D.2) Preserve and license the processing scripts,,,,,,
,,D.2,Preserve the processing code/scripts to a repository (with a DOI and license).,Srcipts inform on the procedures implemented to control data and to make it interoperable,"Although GitHub repositories do not have DOIs by default, an archive can be automatically generated from the repository and uploaded to Zenodo with a DOI. This was done: https://doi.org/10.5281/zenodo.17073323 ",[EML] Class V.E: Computer programs and data processing algorithms,Does not apply
E) PERFORM QUALITY CONTROLS (QCs),,,,,,,
,E.1) QC of dataset Description (step 1),,,,,,
,,E.1.1,Check data structure,"Consistency of the data structure is necessary to reuse the data. Controlling that the row number is as expected helps identifying (partial) duplications. When data is structured in different tables, their correspondence must be verified, i.e., the common columns between the tables must contain the same information.","Unicity of the values taken by the primary keys of each table were controlled. The correspondence between variables (e.g., trait name and measurement method) was controlled manually by verifying all the combinations of these variables. The exact matching between columns present in different tables was controlled for by merging the tables and searching for incorrect merges.",[EML] Class V. B: Quality assurance/quality control procedures,Does not apply
,,E.1.2,Check numeric variables for outliers and plausible ranges.,"Outlier detection allows one to detect values that are very different from the other values of the data distribution. They may reveal (1) errors easy to correct (e.g., unit error, wrongly placed decimal); (2) biological variability to be kept in the dataset, or (3) an error which requires removing the data point.","Outlier detection was automated based on a distance index from trait measurements of individuals of the same species. The final decision on whether to (1) correct, (2) keep, or (3) remove the data point was made by humans, as deciding whether an outlier most likely results from biological variability or measurement errors is difficult to do algorithmically, but can be made based on expert knowledge.",[EML] Class V. B: Quality assurance/quality control procedures,Does not apply
,,E.1.3,Check units for homogeneity across the dataset.,Divergent units for the same trait across subparts of datasets can be an important source of errors.,"For a given trait, values were homogeneized to a single unit across the whole data base. When an outlier was detected, possible unit errors were first investigated.",[EML] Class V. B: Quality assurance/quality control procedures,Does not apply
,,E.1.4,"Check non-numeric variables (e.g., taxon names, identifiers) for misspellings and consistency.","Non-numeric variables (e.g., species name, individual identifier, etc.) are used to connect data points together (e.g., measurements made on the same species, or trait and environmental measurements). They must be carefully checked for homogeneity across the database, as small mispelling errors can prevent connecting these data points.","All values taken by each variable were individually exported and controlled for potential duplications due to misspellings. For instance, a taxa list was exported and misspellings were controlled for.",[EML] Class V. B: Quality assurance/quality control procedures,Does not apply
,,E.1.5,Ensure that URLs pointing to external references are functional,Functional links are a prerequisite for accessing the external resources cited in the database.,All references to online resources were checked before releasing the database.,[EML] Class V. B: Quality assurance/quality control procedures,Does not apply
,,E.1.6,Ensure reproducibility of the quality control and correction procedures,"Many errors can occur when correcting data values and restructuring data. It is thus absolutely necessary to keep track of which changes were made, and to be able to go back to previous versions if these corrections turn out to be irrelevant.","See above (B.3, data restructuration)",[EML] Class V. B: Quality assurance/quality control procedures; Class V. D: Computer programs and processing algorithms,Does not apply
,E.2) QC of dataset Publication (step 2),,,,,,
,,E.2.1,Proofread the metadata files and control for errors.,"Metadata is the first access to a dataset, and must thus be exhaustive and correct so that potential data reusers have an accurate assessment of the dataset content, structure, and accessibility.","The EML file was completed by the lead author, and proof-read by the coauthors.",[EML] Class V. B: Quality assurance/quality control procedures; Class V. D: Computer programs and processing algorithms,Does not apply
,,E.2.2,"Verify the published data package matches the intended release, and pay particular attention to control the presence of DOIs and licenses.","Ensures that the correct, final version of all files (data, metadata, scripts) has been uploaded and that no errors occurred during the publication process. Additionally ensures that two elements of paramount importance for accessibility (DOIs and license) are present.","After uploading to the repository, the published package was downloaded and verified for file integrity, completeness. The data set was reopened and read correctly.",[EML] Class V. B: Quality assurance/quality control procedures; Class V. D: Computer programs and processing algorithms,Does not apply
